,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted_Hobby
278,1,1,1,3,1,4,3,0,0,0,0,1,3,0
279,1,1,1,2,1,4,1,0,0,0,0,1,2,0
280,1,1,1,2,1,4,2,0,0,0,0,1,3,0
281,1,1,1,3,1,3,2,0,0,0,0,1,2,0
282,1,1,1,2,1,5,2,0,0,0,0,1,3,0
283,1,1,1,2,1,3,3,0,0,0,0,1,2,0
284,1,1,1,3,1,4,3,0,0,0,0,1,3,0
285,1,1,1,3,0,3,2,0,0,0,0,1,2,0
286,1,1,1,3,0,4,2,0,0,0,0,1,1,0
287,1,1,1,3,0,5,3,0,0,0,0,1,2,0
288,1,1,1,2,1,4,3,0,0,0,0,1,2,0
289,1,1,1,2,0,3,2,0,0,0,0,1,1,0
290,1,1,1,2,0,2,1,0,0,0,0,1,3,0
291,1,1,1,2,1,3,3,0,0,0,0,1,2,0
292,1,1,1,3,1,3,5,0,0,0,0,1,2,0
293,1,1,1,3,1,4,5,0,0,0,0,1,2,0
294,1,1,1,3,1,4,3,0,0,0,0,1,1,0
295,1,1,1,2,1,5,4,0,0,0,0,1,2,0
296,1,1,1,0,1,4,4,0,0,0,0,1,1,0
297,1,1,1,2,1,4,2,0,0,0,0,1,2,0
298,1,1,1,2,0,4,3,0,0,0,0,1,1,0
299,1,1,1,3,1,5,2,0,0,0,0,1,1,0
300,1,1,1,0,1,5,2,0,0,0,0,1,1,0
301,1,1,1,2,0,4,3,0,0,0,0,1,1,0
302,1,1,1,0,1,4,2,0,0,0,0,1,1,0
303,1,1,1,3,1,4,1,0,0,0,0,1,1,0
304,1,1,1,2,0,4,3,0,0,0,0,1,2,0
305,1,1,1,2,0,3,1,0,0,0,0,1,1,0
306,1,1,1,2,0,3,3,0,0,0,0,1,3,0
307,1,1,1,3,1,4,2,0,0,0,0,1,3,0
308,1,1,1,1,1,3,2,0,0,0,0,1,2,0
309,1,1,1,0,1,3,3,0,0,0,0,1,2,0
310,1,1,1,2,0,3,4,0,0,0,0,1,1,0
311,1,1,1,2,0,4,2,0,0,0,0,1,2,0
312,1,1,1,2,1,3,2,0,0,0,0,1,1,0
313,1,1,1,3,1,2,3,0,0,0,0,1,3,0
314,1,1,1,3,1,5,3,0,0,0,0,1,1,0
315,1,1,1,2,0,3,3,0,0,0,0,1,3,0
316,1,1,1,2,1,2,2,0,0,0,0,1,1,0
317,1,1,1,3,1,3,3,0,0,0,0,1,3,0
318,1,1,1,2,1,2,4,0,0,0,0,1,3,0
319,1,1,1,3,1,3,2,1,0,1,0,1,1,0
320,1,1,1,2,1,4,1,1,0,1,1,1,1,0
321,1,1,1,3,1,5,2,1,0,1,1,1,1,0
322,1,1,1,3,1,5,3,1,0,1,0,1,1,0
323,1,1,1,0,1,3,2,1,0,1,0,1,2,0
324,1,1,1,2,0,3,3,0,0,0,0,0,1,0
325,1,1,1,2,0,2,3,0,0,1,1,1,3,0
326,1,1,1,0,1,5,5,1,0,1,0,1,1,0
327,1,1,1,2,0,3,3,0,0,0,1,1,3,0
328,1,1,1,3,1,5,3,1,0,1,0,1,2,0
329,1,1,1,3,1,5,3,0,0,1,0,1,1,0
330,1,1,1,0,1,3,3,1,0,1,0,1,2,0
331,1,1,1,2,1,2,4,0,0,0,0,0,3,0
